Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
			2.7230	0.38926	0.12840	2.7230	0.36535	0.12174	2.2320	0.56725	0.10655
			2.7620	0.37478	0.12362	2.7620	0.35235	0.11741	2.2570	0.54943	0.10645
			2.8010	0.35850	0.11825	2.8010	0.33762	0.11250	2.2830	0.52580	0.10531
			2.8410	0.33885	0.11177	2.8410	0.31965	0.10652	2.3090	0.51297	0.10630
			2.8810	0.31758	0.10475	2.8810	0.30010	0.10000	2.3350	0.50181	0.10768
			2.9220	0.30441	0.10041	2.9220	0.28817	0.096027	2.3610	0.48658	0.10821
			2.9630	0.29288	0.096610	2.9630	0.27775	0.092554	2.3870	0.46914	0.10821
			3.0040	0.27043	0.089203	3.0040	0.25691	0.085609	2.4140	0.45662	0.10947
			3.0480	0.24557	0.081003	3.0480	0.23373	0.077887	2.4400	0.43895	0.10930
			3.0930	0.23049	0.076030	3.0930	0.21981	0.073247	2.4670	0.41945	0.10870
			3.1380	0.22110	0.072933	3.1380	0.21126	0.070400	2.4940	0.40431	0.10911
			3.1830	0.20699	0.068278	3.1830	0.19816	0.066034	2.5210	0.39064	0.11753
			3.2290	0.19992	0.065947	3.2290	0.19177	0.063906	2.5480	0.38079	0.11457
			3.2750	0.18679	0.061617	3.2750	0.17954	0.059829	2.5750	0.37263	0.11211
			3.3220	0.17619	0.058120	3.3220	0.16969	0.056547	2.6020	0.39297	0.11823
			3.3690	0.16854	0.055597	3.3690	0.16265	0.054203	2.6300	0.38052	0.11913
			3.4160	0.15960	0.052646	3.4160	0.15433	0.051429	2.6570	0.36890	0.11550
			3.4630	0.14908	0.049178	3.4630	0.14445	0.048139	2.6850	0.35427	0.11092
			3.5110	0.13817	0.045578	3.5110	0.13416	0.044707	2.7130	0.34258	0.10726
			3.5590	0.13126	0.043300	3.5590	0.12771	0.042561	2.7410	0.33356	0.10443
			3.6070	0.12363	0.040782	3.6070	0.12053	0.040168	2.7690	0.32280	0.10106
			3.6560	0.11624	0.038346	3.6560	0.11357	0.037848	2.7970	0.30712	0.096153
			3.7050	0.10881	0.035893	3.7050	0.10653	0.035502	2.8260	0.29645	0.092815
			3.7540	0.10365	0.034192	3.7540	0.10170	0.033891	2.8540	0.28594	0.089525
			3.8040	0.095248	0.031421	3.8040	0.093657	0.031212	2.8830	0.27167	0.085056
			3.8540	0.091134	0.030064	3.8540	0.089804	0.029928	2.9120	0.26114	0.081758
			3.9040	0.085590	0.028235	3.9040	0.085730	0.028571	2.9410	0.25423	0.079597
			3.9550	0.081195	0.026786	3.9550	0.080359	0.026781	2.9700	0.24685	0.077286
			4.0060	0.077212	0.027443	4.0060	0.078743	0.028234	2.9990	0.23914	0.074871
			4.0570	0.073825	0.026240	4.0570	0.073386	0.026314	3.0280	0.22807	0.071404
			4.1090	0.069918	0.024851	4.1090	0.069659	0.024977	3.0580	0.22166	0.069399
			4.1610	0.066070	0.023483	4.1610	0.067780	0.024303	3.0870	0.21323	0.066760
			4.2130	0.064388	0.022886	4.2130	0.064436	0.023105	3.1170	0.20386	0.063827
			4.2660	0.058269	0.020711	4.2660	0.058446	0.020957	3.1470	0.19729	0.061769
			4.3190	0.057156	0.020315	4.3190	0.057461	0.020604	3.1770	0.18964	0.059373
			4.3720	0.052351	0.018607	4.3720	0.052750	0.018914	3.2070	0.18387	0.057567
			4.4260	0.049349	0.017541	4.4260	0.049842	0.017872	3.2370	0.17357	0.054343
			4.4800	0.047078	0.016733	4.4800	0.047658	0.017089	3.2680	0.18379	0.057543
			4.5340	0.044853	0.015942	4.5340	0.045511	0.016319	3.2980	0.17687	0.055377
			4.5880	0.041793	0.014855	4.5880	0.042505	0.015241	3.3290	0.16741	0.052413
			4.6430	0.038801	0.013791	4.6430	0.039556	0.014184	3.3600	0.16148	0.050556
			4.6990	0.036162	0.012853	4.6990	0.036954	0.013251	3.3910	0.15530	0.048624
			4.7540	0.034039	0.012099	4.7540	0.034868	0.012503	3.4220	0.14990	0.046930
			4.8100	0.031656	0.011252	4.8100	0.032505	0.011656	3.4530	0.14540	0.045523
			4.8660	0.029606	0.010523	4.8660	0.030473	0.010927	3.4840	0.13948	0.043669
			4.9230	0.027621	0.0098177	4.9230	0.028499	0.010219	3.5160	0.13419	0.042013
			4.9800	0.025680	0.0091278	4.9800	0.026562	0.0095246	3.5470	0.13001	0.040705
			5.0370	0.024054	0.0085499	5.0370	0.024941	0.0089435	3.5790	0.12293	0.038487
			5.0940	0.022478	0.0079901	5.0940	0.023365	0.0083784	3.6110	0.11776	0.036870
			5.1520	0.020622	0.0073303	5.1520	0.021489	0.0077058	3.6430	0.11390	0.035662
			5.2100	0.019143	0.0068044	5.2100	0.019997	0.0071709	3.6750	0.10911	0.034161
			5.2690	0.018026	0.0064077	5.2690	0.018879	0.0067699	3.7070	0.10413	0.032601
			5.3280	0.016752	0.0059546	5.3280	0.017589	0.0063073	3.7400	0.099763	0.031235
			5.3870	0.015511	0.0055136	5.3870	0.016328	0.0058550	3.7720	0.095756	0.029980
			5.4460	0.014295	0.0050815	5.4460	0.015086	0.0054098	3.8050	0.089955	0.028164
			5.5060	0.013402	0.0047638	5.5060	0.014180	0.0050847	3.8380	0.086723	0.027152
			5.5660	0.012388	0.0044033	5.5660	0.013140	0.0047121	3.8710	0.082906	0.025957
			5.6270	0.011412	0.0040567	5.6270	0.012138	0.0043526	3.9040	0.080247	0.025125
			5.6870	0.010622	0.0037756	5.6870	0.011326	0.0040615	3.9370	0.076675	0.024006
			5.7480	0.0096595	0.0034336	5.7480	0.010327	0.0037033	3.9700	0.073104	0.022888
			5.8100	0.0089999	0.0031992	5.8100	0.0096478	0.0034597	4.0040	0.069731	0.021832
			5.8710	0.0083096	0.0029538	5.8710	0.0089311	0.0032028	4.0370	0.067888	0.021255
			5.9340	0.0076444	0.0027173	5.9340	0.0082385	0.0029543	4.0710	0.064653	0.020242
			5.9960	0.0071385	0.0025375	5.9960	0.0077138	0.0027662	4.1050	0.062067	0.019433
			6.0590	0.0066074	0.0023488	6.0590	0.0071594	0.0025674	4.1390	0.059446	0.018612
			6.1220	0.0061516	0.0021868	6.1220	0.0066836	0.0023968	4.1730	0.056865	0.017804
			6.1850	0.0056182	0.0019971	6.1850	0.0061206	0.0021949	4.2070	0.053934	0.016886
			6.2490	0.0052484	0.0018657	6.2490	0.0057335	0.0020561	4.2420	0.051698	0.016186
			6.3130	0.0048511	0.0017245	6.3130	0.0053141	0.0019057	4.2760	0.049550	0.015514
			6.3770	0.0044982	0.0015990	6.3770	0.0049411	0.0017720	4.3110	0.046398	0.014527
			6.4420	0.0040379	0.0014354	6.4420	0.0044479	0.0015951	4.3460	0.040647	0.012726
			6.5070	0.0037970	0.0013498	6.5070	0.0041943	0.0015041	4.3810	0.038867	0.012169
			6.5720	0.0035210	0.0012517	6.5720	0.0039003	0.0013987	4.4160	0.037039	0.011597
			6.6380	0.0031790	0.0011301	6.6380	0.0035315	0.0012664	4.4510	0.035510	0.011118
			6.7040	0.0029410	0.0010455	6.7040	0.0032764	0.0011750	4.4860	0.034180	0.010702
			6.7700	0.0026844	0.00095430	6.7700	0.0029991	0.0010755	4.5210	0.032174	0.010074
			6.8370	0.0024835	0.00088285	6.8370	0.0027826	0.00099790	4.5570	0.030428	0.0095267
			6.9040	0.0023036	0.00081893	6.9040	0.0025885	0.00092832	4.5930	0.029143	0.0091246
			6.9710	0.0021111	0.00075048	6.9710	0.0023790	0.00085319	4.6290	0.027936	0.0087465
			7.0380	0.0019627	0.00069776	7.0380	0.0022183	0.00079553	4.6650	0.026650	0.0083441
			7.1060	0.0017587	0.00062519	7.1060	0.0019934	0.00071490	4.7010	0.025581	0.0080093
			7.1750	0.0016537	0.00058787	7.1750	0.0018800	0.00067422	4.7370	0.024542	0.0076840
			7.2400	0.0016166	0.00057471	7.2400	0.0018430	0.00066096	4.7730	0.023316	0.0073001
			7.3060	0.0014978	0.00053246	7.3060	0.0017124	0.00061413	4.8100	0.022326	0.0069902
			7.3710	0.0013721	0.00048781				4.8460	0.021470	0.0067221
			7.4370	0.0012487	0.00044394				4.8830	0.020168	0.0063145
			7.5040	0.0011644	0.00041395				4.9200	0.019275	0.0060350
									4.9570	0.018491	0.0061474
									4.9940	0.017512	0.0058220
									5.0310	0.016503	0.0054867
									5.0690	0.015692	0.0052168
									5.1060	0.014990	0.0049837
									5.1440	0.014099	0.0046872
									5.1820	0.013533	0.0044992
									5.2200	0.012829	0.0042651
									5.2580	0.012207	0.0040585
									5.2960	0.011689	0.0038861
									5.3340	0.011008	0.0036596
									5.3730	0.010512	0.0034947
									5.4110	0.0099798	0.0033179
									5.4500	0.0093962	0.0031239
									5.4890	0.0089857	0.0029874
									5.5280	0.0085983	0.0028586
									5.5670	0.0081789	0.0027192
									5.6060	0.0077092	0.0025630
									5.6460	0.0072839	0.0024216
									5.6850	0.0070781	0.0023532
									5.7250	0.0066350	0.0022059
									5.7650	0.0063594	0.0021143
									5.8040	0.0060820	0.0020221
									5.8440	0.0056632	0.0018828
									5.8850	0.0053884	0.0017914
									5.9250	0.0051771	0.0017212
									5.9650	0.0048435	0.0016103
									6.0060	0.0045289	0.0015057
									6.0470	0.0043619	0.0014502
									6.0870	0.0041161	0.0013685
									6.1280	0.0038696	0.0012865
									6.1690	0.0036325	0.0012077
									6.2110	0.0034348	0.0011420
									6.2520	0.0033278	0.0011064
									6.2930	0.0031048	0.0010322
									6.3350	0.0029151	0.00096916
									6.3770	0.0027568	0.00091655
									6.4190	0.0026204	0.00087118
									6.4610	0.0024989	0.00083079
									6.5030	0.0023718	0.00078856
									6.5450	0.0022529	0.00074902
									6.5870	0.0021228	0.00070577
									6.6300	0.0020087	0.00066784
									6.6720	0.0019024	0.00063249
									6.7150	0.0018025	0.00059927
									6.7580	0.0017035	0.00056636
									6.8010	0.0016183	0.00053802
									6.8440	0.0015044	0.00050017
									6.8880	0.0014364	0.00051397
									6.9310	0.0013631	0.00048776
									6.9750	0.0012851	0.00045983
									7.0180	0.0012259	0.00043867
									7.0620	0.0011439	0.00040932
									7.1060	0.0010875	0.00038914
									7.1500	0.0010202	0.00036504
									7.1940	0.00095572	0.00034198
									7.2390	0.00090220	0.00032283
									7.2830	0.00085396	0.00030557
									7.3280	0.00080092	0.00028659
									7.3720	0.00075724	0.00027096
									7.4170	0.00071318	0.00025519
									7.4620	0.00067298	0.00024081
									7.5070	0.00062674	0.00022426
									7.5530	0.00059451	0.00021273
									7.5980	0.00055875	0.00019993
									7.6440	0.00052871	0.00018918
									7.6890	0.00049806	0.00017822
									7.7350	0.00046547	0.00016656
									7.7810	0.00044385	0.00015882
									7.8270	0.00041872	0.00014983
									7.8730	0.00039777	0.00014233
									7.9190	0.00037160	0.00013297
									7.9660	0.00034947	0.00012505
									8.0120	0.00033241	0.00011894
									8.0590	0.00031001	0.00011093
									8.1060	0.00029264	0.00010471
									8.1530	0.00027749	9.9292e-05
									8.2000	0.00025896	9.2664e-05
									8.2470	0.00024623	8.8109e-05
									8.2940	0.00022857	8.1790e-05
									8.3420	0.00021771	7.7903e-05
									8.3890	0.00020581	7.3645e-05
									8.4370	0.00019289	6.9023e-05
									8.4850	0.00018067	6.4649e-05
									8.5330	0.00017060	6.1044e-05
									8.5810	0.00016117	5.7672e-05
									8.6290	0.00015023	5.3758e-05
									8.6780	0.00014171	5.0708e-05
									8.7260	0.00013213	4.7279e-05
									8.7750	0.00012509	4.4760e-05
									8.8230	0.00011774	4.2131e-05
									8.8720	0.00010932	3.9118e-05
									8.9210	0.00010328	3.6955e-05
									8.9700	9.5767e-05	3.4268e-05
