TAG;rc
PARIS90_E5.5keV;0
PARIS90_E13.284keV;0
PARIS90_E18.2907keV;0
PARIS90_E24.1822keV;0
PARIS90_E30.9719keV;0
PARIS90_E38.6705keV;0
PARIS90_E47.2868keV;0
PARIS90_E56.8284keV;0
PARIS90_E67.3016keV;0
PARIS90_E78.7122keV;0
PARIS90_E91.065keV;0
PARIS90_E104.364keV;0
PARIS90_E118.614keV;0
PARIS90_E133.818keV;0
PARIS90_E149.98keV;0
PARIS90_E167.102keV;0
PARIS90_E185.187keV;0
PARIS90_E204.237keV;0
PARIS90_E224.256keV;0
PARIS90_E245.244keV;0
PARIS90_E267.205keV;0
PARIS90_E290.14keV;0
PARIS90_E314.052keV;0
PARIS90_E338.941keV;0
PARIS90_E364.809keV;0
PARIS90_E391.658keV;0
PARIS90_E419.49keV;0
PARIS90_E448.305keV;0
PARIS90_E478.106keV;0
PARIS90_E508.893keV;0
PARIS90_E573.432keV;0
PARIS90_E607.185keV;0
PARIS90_E641.93keV;0
PARIS90_E677.667keV;0
PARIS90_E714.397keV;0
PARIS90_E752.121keV;0
PARIS90_E790.84keV;0
PARIS90_E830.556keV;0
PARIS90_E871.268keV;0
PARIS90_E912.978keV;0
PARIS90_E955.686keV;0
PARIS90_E999.394keV;0
PARIS90_E1044.1keV;0
PARIS90_E1089.81keV;0
PARIS90_E1136.52keV;0
PARIS90_E1184.24keV;143
PARIS90_E540.668keV;143
PARIS90_E1282.67keV;143
PARIS90_E1232.95keV;143
PARIS90_E1333.4keV;0
PARIS90_E1385.13keV;0
PARIS90_E1437.86keV;0
PARIS90_E1491.6keV;0
PARIS90_E1546.35keV;0
PARIS90_E1602.11keV;0
PARIS90_E1658.87keV;0
PARIS90_E1716.65keV;0
PARIS90_E1775.43keV;0
PARIS90_E1835.22keV;0
PARIS90_E1896.03keV;0
PARIS90_E1957.84keV;0
PARIS90_E2020.67keV;0
PARIS90_E2084.5keV;0
PARIS90_E2149.35keV;0
PARIS90_E2215.22keV;0
PARIS90_E2282.09keV;0
PARIS90_E2349.98keV;0
PARIS90_E2488.81keV;0
PARIS90_E2559.74keV;0
PARIS90_E2631.69keV;0
PARIS90_E2704.66keV;0
PARIS90_E2778.64keV;0
PARIS90_E2853.64keV;0
PARIS90_E2929.66keV;0
PARIS90_E3006.7keV;0
PARIS90_E3084.75keV;0
PARIS90_E2418.89keV;143
PARIS90_E3163.82keV;0
PARIS90_E3243.91keV;0
PARIS90_E3325.03keV;0
PARIS90_E3407.16keV;0
PARIS90_E3490.31keV;0
PARIS90_E3574.48keV;0
PARIS90_E3659.67keV;0
PARIS90_E3745.88keV;0
PARIS90_E3833.12keV;0
PARIS90_E3921.37keV;0
PARIS90_E4010.65keV;0
PARIS90_E4100.95keV;0
PARIS90_E4192.28keV;0
PARIS90_E4284.63keV;0
PARIS90_E4378keV;0
PARIS90_E4472.39keV;0
PARIS90_E4567.81keV;0
PARIS90_E4664.25keV;0
PARIS90_E4761.72keV;0
PARIS90_E4860.22keV;0
PARIS90_E4959.74keV;0
PARIS90_E5060.28keV;0
PARIS90_E5161.85keV;0
PARIS90_E5264.45keV;0
PARIS90_E5368.07keV;0
PARIS90_E5472.72keV;0
PARIS90_E5578.4keV;0
PARIS90_E5685.11keV;0
PARIS90_E5792.84keV;0
PARIS90_E5901.6keV;0
PARIS90_E6011.39keV;0
PARIS90_E6122.21keV;0
PARIS90_E6234.05keV;0
PARIS90_E6346.93keV;0
PARIS90_E6460.84keV;0
PARIS90_E6575.77keV;0
PARIS90_E6691.73keV;0
PARIS90_E6808.73keV;0
PARIS90_E6926.75keV;0
PARIS90_E7045.81keV;0
PARIS90_E7165.9keV;0
PARIS90_E7287.01keV;0
PARIS90_E7409.16keV;0
PARIS90_E7532.34keV;0
PARIS90_E7656.56keV;0
PARIS90_E7781.8keV;0
PARIS90_E8035.39keV;0
PARIS90_E8163.73keV;0
PARIS90_E8293.1keV;0
PARIS90_E8423.51keV;0
PARIS90_E8554.95keV;0
PARIS90_E8687.43keV;0
PARIS90_E8820.94keV;0
PARIS90_E8955.48keV;0
PARIS90_E9091.06keV;0
PARIS90_E9227.67keV;0
PARIS90_E9365.31keV;0
PARIS90_E9504keV;0
PARIS90_E7908.08keV;143
PARIS90_E9643.71keV;0
PARIS90_E9784.46keV;0
PARIS90_E9926.25keV;0
PARIS90_E10069.1keV;0
PARIS90_E10212.9keV;0
PARIS90_E10357.8keV;0
PARIS90_E10503.8keV;0
PARIS90_E10650.7keV;0
PARIS90_E10798.7keV;0
PARIS90_E10947.8keV;0
PARIS90_E11097.9keV;0
PARIS90_E11249keV;0
PARIS90_E11401.1keV;0
PARIS90_E11554.3keV;0
PARIS90_E11708.5keV;0
PARIS90_E11863.8keV;0
PARIS90_E12020.1keV;0
PARIS90_E12177.5keV;0
PARIS90_E12335.8keV;0
PARIS90_E12495.3keV;0
PARIS90_E12655.7keV;0
PARIS90_E12817.2keV;0
PARIS90_E12979.8keV;0
PARIS90_E13143.3keV;0
PARIS90_E13308keV;0
PARIS90_E13473.6keV;0
PARIS90_E13640.3keV;0
PARIS90_E13808keV;0
PARIS90_E13976.8keV;0
PARIS90_E14317.5keV;0
PARIS90_E14489.4keV;0
PARIS90_E14662.3keV;0
PARIS90_E14836.3keV;0
PARIS90_E14146.6keV;143
