TAG;rc
PARIS110_E13.7344keV;0
PARIS110_E5.5keV;0
PARIS110_E19.7299keV;0
PARIS110_E26.7633keV;0
PARIS110_E34.8053keV;0
PARIS110_E43.8299keV;0
PARIS110_E53.8141keV;0
PARIS110_E76.5798keV;0
PARIS110_E89.3257keV;0
PARIS110_E102.959keV;0
PARIS110_E117.466keV;0
PARIS110_E132.834keV;0
PARIS110_E149.049keV;0
PARIS110_E166.102keV;0
PARIS110_E183.98keV;0
PARIS110_E202.676keV;0
PARIS110_E222.178keV;0
PARIS110_E242.479keV;0
PARIS110_E263.571keV;0
PARIS110_E285.444keV;0
PARIS110_E308.093keV;0
PARIS110_E331.509keV;0
PARIS110_E355.687keV;0
PARIS110_E380.619keV;0
PARIS110_E406.3keV;0
PARIS110_E432.723keV;0
PARIS110_E459.884keV;0
PARIS110_E487.776keV;0
PARIS110_E516.394keV;0
PARIS110_E545.734keV;0
PARIS110_E575.79keV;0
PARIS110_E606.558keV;0
PARIS110_E638.033keV;0
PARIS110_E670.211keV;0
PARIS110_E703.087keV;0
PARIS110_E736.659keV;0
PARIS110_E770.92keV;0
PARIS110_E805.869keV;0
PARIS110_E841.5keV;0
PARIS110_E877.811keV;0
PARIS110_E914.798keV;0
PARIS110_E952.457keV;0
PARIS110_E990.785keV;0
PARIS110_E1029.78keV;0
PARIS110_E1069.44keV;0
PARIS110_E1109.75keV;0
PARIS110_E1150.73keV;0
PARIS110_E64.7369keV;143
PARIS110_E1192.35keV;0
PARIS110_E1234.63keV;0
PARIS110_E1277.55keV;0
PARIS110_E1321.12keV;0
PARIS110_E1365.34keV;0
PARIS110_E1410.19keV;0
PARIS110_E1455.68keV;0
PARIS110_E1501.8keV;0
PARIS110_E1548.56keV;0
PARIS110_E1595.95keV;0
PARIS110_E1643.96keV;0
PARIS110_E1692.6keV;0
PARIS110_E1791.75keV;0
PARIS110_E1842.25keV;0
PARIS110_E1893.37keV;0
PARIS110_E1945.1keV;0
PARIS110_E1997.45keV;0
PARIS110_E2050.4keV;0
PARIS110_E2103.97keV;0
PARIS110_E2158.14keV;0
PARIS110_E2212.91keV;0
PARIS110_E2268.29keV;0
PARIS110_E2324.27keV;0
PARIS110_E2380.85keV;0
PARIS110_E2438.02keV;0
PARIS110_E2495.79keV;0
PARIS110_E2554.15keV;0
PARIS110_E2613.11keV;0
PARIS110_E2672.65keV;0
PARIS110_E2732.79keV;0
PARIS110_E2793.51keV;0
PARIS110_E2854.81keV;0
PARIS110_E2916.7keV;0
PARIS110_E2979.17keV;0
PARIS110_E3042.22keV;0
PARIS110_E3105.85keV;0
PARIS110_E3170.06keV;0
PARIS110_E3234.85keV;0
PARIS110_E1741.87keV;143
PARIS110_E3300.21keV;0
PARIS110_E3366.14keV;0
PARIS110_E3432.64keV;0
PARIS110_E3499.72keV;0
PARIS110_E3567.36keV;0
PARIS110_E3635.57keV;0
PARIS110_E3704.35keV;0
PARIS110_E3773.69keV;0
PARIS110_E3843.6keV;0
PARIS110_E3914.06keV;0
PARIS110_E3985.09keV;0
PARIS110_E4056.68keV;0
PARIS110_E4128.83keV;0
PARIS110_E4201.53keV;0
PARIS110_E4274.79keV;0
PARIS110_E4348.61keV;0
PARIS110_E4422.98keV;0
PARIS110_E4497.9keV;0
PARIS110_E4573.37keV;0
PARIS110_E4649.4keV;0
PARIS110_E4725.97keV;0
PARIS110_E4803.09keV;0
PARIS110_E4880.75keV;0
PARIS110_E4958.97keV;0
PARIS110_E5037.72keV;0
PARIS110_E5117.03keV;0
PARIS110_E5196.87keV;0
PARIS110_E5277.25keV;0
PARIS110_E5358.18keV;0
PARIS110_E5439.64keV;0
PARIS110_E5521.64keV;0
PARIS110_E5604.18keV;0
PARIS110_E5687.26keV;0
PARIS110_E5770.87keV;0
PARIS110_E5855.02keV;0
PARIS110_E5939.7keV;0
PARIS110_E6024.91keV;0
PARIS110_E6110.65keV;0
PARIS110_E6196.92keV;0
PARIS110_E6283.73keV;0
PARIS110_E6371.06keV;0
PARIS110_E6458.92keV;0
PARIS110_E6547.31keV;0
PARIS110_E6636.22keV;0
PARIS110_E6725.65keV;0
PARIS110_E6815.62keV;0
PARIS110_E6906.1keV;0
PARIS110_E6997.11keV;0
PARIS110_E7088.64keV;0
PARIS110_E7180.68keV;0
PARIS110_E7273.25keV;0
PARIS110_E7366.34keV;0
PARIS110_E7459.95keV;0
PARIS110_E7648.71keV;0
PARIS110_E7743.87keV;0
PARIS110_E7839.54keV;0
PARIS110_E7935.72keV;0
PARIS110_E8032.42keV;0
PARIS110_E8129.63keV;0
PARIS110_E8227.35keV;0
PARIS110_E8325.58keV;0
PARIS110_E8424.33keV;0
PARIS110_E8523.58keV;0
PARIS110_E8623.34keV;0
PARIS110_E8723.61keV;0
PARIS110_E8824.39keV;0
PARIS110_E8925.67keV;0
PARIS110_E9027.46keV;0
PARIS110_E9129.76keV;0
PARIS110_E9232.55keV;0
PARIS110_E9335.86keV;0
PARIS110_E9439.66keV;0
PARIS110_E9543.97keV;0
PARIS110_E9648.78keV;0
PARIS110_E9754.09keV;0
PARIS110_E9859.9keV;0
PARIS110_E9966.21keV;0
PARIS110_E10073keV;0
PARIS110_E10180.3keV;0
PARIS110_E10288.1keV;0
PARIS110_E10396.4keV;0
PARIS110_E10505.2keV;0
PARIS110_E10614.5keV;0
PARIS110_E10724.3keV;0
PARIS110_E10834.6keV;0
PARIS110_E10945.4keV;0
PARIS110_E11056.6keV;0
PARIS110_E11168.4keV;0
PARIS110_E11280.6keV;0
PARIS110_E11393.4keV;0
PARIS110_E11506.6keV;0
PARIS110_E11620.3keV;0
PARIS110_E11734.5keV;143
PARIS110_E7554.07keV;153
