TAG;rc
PARIS70_E13.5423keV;0
PARIS70_E5.5keV;0
PARIS70_E19.1116keV;0
PARIS70_E25.6442keV;0
PARIS70_E33.1276keV;0
PARIS70_E41.5496keV;0
PARIS70_E50.8988keV;0
PARIS70_E61.1642keV;0
PARIS70_E72.3359keV;0
PARIS70_E84.4043keV;0
PARIS70_E97.3609keV;0
PARIS70_E111.197keV;0
PARIS70_E125.906keV;0
PARIS70_E141.479keV;0
PARIS70_E157.91keV;0
PARIS70_E175.192keV;0
PARIS70_E193.319keV;0
PARIS70_E212.286keV;0
PARIS70_E232.087keV;0
PARIS70_E252.716keV;0
PARIS70_E274.169keV;0
PARIS70_E296.44keV;0
PARIS70_E319.525keV;0
PARIS70_E343.419keV;0
PARIS70_E368.119keV;0
PARIS70_E393.62keV;0
PARIS70_E419.917keV;0
PARIS70_E447.008keV;0
PARIS70_E474.889keV;0
PARIS70_E503.556keV;0
PARIS70_E533.005keV;0
PARIS70_E563.233keV;0
PARIS70_E594.237keV;0
PARIS70_E626.014keV;0
PARIS70_E658.561keV;143
PARIS70_E691.875keV;0
PARIS70_E725.953keV;0
PARIS70_E760.792keV;0
PARIS70_E796.389keV;0
PARIS70_E832.742keV;0
PARIS70_E869.848keV;0
PARIS70_E907.705keV;0
PARIS70_E946.311keV;0
PARIS70_E985.662keV;0
PARIS70_E1025.76keV;0
PARIS70_E1066.59keV;0
PARIS70_E1108.17keV;0
PARIS70_E1150.48keV;0
PARIS70_E1193.53keV;0
PARIS70_E1237.3keV;0
PARIS70_E1327.05keV;0
PARIS70_E1373.02keV;0
PARIS70_E1419.71keV;0
PARIS70_E1467.12keV;0
PARIS70_E1515.25keV;0
PARIS70_E1564.11keV;0
PARIS70_E1613.68keV;0
PARIS70_E1663.96keV;0
PARIS70_E1714.96keV;0
PARIS70_E1766.67keV;0
PARIS70_E1819.09keV;0
PARIS70_E1872.23keV;0
PARIS70_E1926.06keV;0
PARIS70_E1980.61keV;0
PARIS70_E2035.86keV;0
PARIS70_E2091.81keV;0
PARIS70_E2148.46keV;0
PARIS70_E2205.81keV;0
PARIS70_E2263.86keV;0
PARIS70_E2322.61keV;0
PARIS70_E2382.06keV;0
PARIS70_E2442.19keV;0
PARIS70_E2503.02keV;0
PARIS70_E2564.55keV;0
PARIS70_E2626.76keV;0
PARIS70_E2689.66keV;0
PARIS70_E2753.25keV;0
PARIS70_E2817.52keV;0
PARIS70_E2882.48keV;0
PARIS70_E2948.12keV;0
PARIS70_E3014.45keV;0
PARIS70_E3081.46keV;0
PARIS70_E3149.14keV;0
PARIS70_E3217.51keV;0
PARIS70_E3286.55keV;0
PARIS70_E3356.27keV;0
PARIS70_E3426.67keV;0
PARIS70_E3497.74keV;0
PARIS70_E3569.49keV;0
PARIS70_E3641.9keV;0
PARIS70_E3714.99keV;0
PARIS70_E3788.75keV;0
PARIS70_E3863.18keV;0
PARIS70_E3938.27keV;0
PARIS70_E4014.03keV;0
PARIS70_E4090.46keV;0
PARIS70_E4167.56keV;0
PARIS70_E4245.32keV;0
PARIS70_E4323.74keV;0
PARIS70_E4402.82keV;0
PARIS70_E4482.56keV;0
PARIS70_E4562.97keV;0
PARIS70_E4644.03keV;0
PARIS70_E4725.76keV;0
PARIS70_E4808.14keV;0
PARIS70_E4891.17keV;0
PARIS70_E4974.87keV;0
PARIS70_E5059.21keV;0
PARIS70_E5144.22keV;0
PARIS70_E5229.87keV;0
PARIS70_E5316.18keV;0
PARIS70_E5403.13keV;0
PARIS70_E5490.74keV;0
PARIS70_E5579keV;0
PARIS70_E5667.91keV;0
PARIS70_E5757.47keV;0
PARIS70_E5847.67keV;0
PARIS70_E5938.52keV;0
PARIS70_E6030.01keV;0
PARIS70_E6122.15keV;0
PARIS70_E6214.94keV;143
PARIS70_E1281.81keV;143
PARIS70_E6308.36keV;0
PARIS70_E6402.43keV;0
PARIS70_E6592.5keV;0
PARIS70_E6688.49keV;0
PARIS70_E6785.12keV;0
PARIS70_E6882.4keV;0
PARIS70_E6980.31keV;0
PARIS70_E7078.85keV;0
PARIS70_E7178.04keV;0
PARIS70_E7277.86keV;0
PARIS70_E7378.31keV;0
PARIS70_E7479.4keV;0
PARIS70_E7581.13keV;0
PARIS70_E7683.48keV;0
PARIS70_E7786.47keV;0
PARIS70_E7890.09keV;0
PARIS70_E7994.35keV;0
PARIS70_E8099.23keV;0
PARIS70_E8204.74keV;0
PARIS70_E8310.89keV;0
PARIS70_E8417.66keV;0
PARIS70_E8525.06keV;0
PARIS70_E8633.08keV;0
PARIS70_E8741.74keV;0
PARIS70_E8851.01keV;0
PARIS70_E8960.92keV;0
PARIS70_E9071.45keV;0
PARIS70_E9182.6keV;0
PARIS70_E9294.38keV;0
PARIS70_E9406.78keV;0
PARIS70_E9519.8keV;0
PARIS70_E9633.45keV;0
PARIS70_E9747.71keV;0
PARIS70_E9862.6keV;0
PARIS70_E9978.1keV;0
PARIS70_E10094.2keV;0
PARIS70_E10211keV;0
PARIS70_E10328.3keV;0
PARIS70_E10446.3keV;0
PARIS70_E10564.9keV;0
PARIS70_E10684.1keV;0
PARIS70_E10804keV;0
PARIS70_E10924.4keV;0
PARIS70_E11045.5keV;0
PARIS70_E11167.1keV;0
PARIS70_E11289.4keV;0
PARIS70_E11412.3keV;0
PARIS70_E11535.9keV;0
PARIS70_E11660keV;0
PARIS70_E11784.7keV;0
PARIS70_E11910.1keV;0
PARIS70_E12036keV;0
PARIS70_E12162.6keV;0
PARIS70_E12289.8keV;0
PARIS70_E12417.6keV;0
PARIS70_E12546keV;0
PARIS70_E12675keV;0
PARIS70_E12804.6keV;0
PARIS70_E12934.8keV;0
PARIS70_E13065.7keV;0
PARIS70_E13197.1keV;0
PARIS70_E13329.1keV;0
PARIS70_E13461.8keV;0
PARIS70_E13595keV;0
PARIS70_E13728.9keV;0
PARIS70_E13863.4keV;0
PARIS70_E13998.4keV;0
PARIS70_E14134.1keV;0
PARIS70_E14270.4keV;0
PARIS70_E14407.2keV;0
PARIS70_E14544.7keV;0
PARIS70_E14682.8keV;0
PARIS70_E14821.4keV;0
PARIS70_E14960.7keV;0
PARIS70_E6497.15keV;143
