TAG;rc
PARIS50_E5.5keV;0
PARIS50_E13.4443keV;0
PARIS50_E18.8385keV;0
PARIS50_E25.2549keV;0
PARIS50_E32.7138keV;0
PARIS50_E41.232keV;0
PARIS50_E50.8234keV;0
PARIS50_E61.4998keV;0
PARIS50_E73.2718keV;0
PARIS50_E86.1483keV;0
PARIS50_E100.138keV;0
PARIS50_E115.247keV;0
PARIS50_E131.483keV;0
PARIS50_E148.852keV;0
PARIS50_E167.359keV;0
PARIS50_E187.01keV;0
PARIS50_E207.81keV;0
PARIS50_E229.762keV;0
PARIS50_E252.871keV;0
PARIS50_E277.141keV;0
PARIS50_E302.576keV;0
PARIS50_E329.179keV;0
PARIS50_E356.953keV;0
PARIS50_E385.902keV;0
PARIS50_E416.029keV;0
PARIS50_E479.828keV;0
PARIS50_E513.505keV;0
PARIS50_E548.371keV;0
PARIS50_E584.427keV;0
PARIS50_E621.677keV;0
PARIS50_E660.123keV;0
PARIS50_E699.767keV;0
PARIS50_E740.61keV;0
PARIS50_E782.656keV;0
PARIS50_E825.905keV;0
PARIS50_E870.361keV;0
PARIS50_E916.024keV;0
PARIS50_E962.896keV;0
PARIS50_E1010.98keV;0
PARIS50_E1060.28keV;0
PARIS50_E1110.79keV;0
PARIS50_E1162.52keV;0
PARIS50_E1215.46keV;0
PARIS50_E1269.63keV;0
PARIS50_E1325.01keV;0
PARIS50_E1381.62keV;0
PARIS50_E1439.46keV;0
PARIS50_E1498.51keV;0
PARIS50_E1558.8keV;0
PARIS50_E1620.31keV;0
PARIS50_E1683.05keV;0
PARIS50_E1747.02keV;0
PARIS50_E1812.23keV;0
PARIS50_E1878.66keV;0
PARIS50_E1946.33keV;0
PARIS50_E2015.24keV;0
PARIS50_E2085.38keV;0
PARIS50_E2156.76keV;0
PARIS50_E2229.38keV;0
PARIS50_E2303.24keV;0
PARIS50_E2378.34keV;0
PARIS50_E2454.68keV;0
PARIS50_E2532.27keV;0
PARIS50_E2611.1keV;0
PARIS50_E2691.17keV;0
PARIS50_E2772.49keV;0
PARIS50_E2855.06keV;0
PARIS50_E2938.88keV;0
PARIS50_E3023.94keV;0
PARIS50_E3110.26keV;0
PARIS50_E3197.82keV;0
PARIS50_E3286.64keV;0
PARIS50_E3376.71keV;0
PARIS50_E3468.04keV;0
PARIS50_E3560.61keV;0
PARIS50_E3654.45keV;0
PARIS50_E3749.54keV;0
PARIS50_E3845.88keV;0
PARIS50_E3943.49keV;0
PARIS50_E4042.35keV;0
PARIS50_E4142.47keV;0
PARIS50_E4243.85keV;0
PARIS50_E4346.5keV;0
PARIS50_E4450.4keV;0
PARIS50_E4555.57keV;0
PARIS50_E4662keV;0
PARIS50_E4769.7keV;0
PARIS50_E4878.65keV;143
PARIS50_E447.337keV;143
PARIS50_E4988.88keV;0
PARIS50_E5100.37keV;0
PARIS50_E5213.13keV;0
PARIS50_E5327.15keV;0
PARIS50_E5442.45keV;0
PARIS50_E5559.01keV;0
PARIS50_E5676.84keV;0
PARIS50_E5795.94keV;0
PARIS50_E5916.32keV;0
PARIS50_E6037.96keV;0
PARIS50_E6160.88keV;0
PARIS50_E6285.07keV;0
PARIS50_E6410.53keV;0
PARIS50_E6537.27keV;0
PARIS50_E6665.28keV;0
PARIS50_E6794.57keV;0
PARIS50_E6925.13keV;0
PARIS50_E7056.98keV;0
PARIS50_E7190.09keV;0
PARIS50_E7324.49keV;0
PARIS50_E7460.16keV;0
PARIS50_E7597.12keV;0
PARIS50_E7735.35keV;0
PARIS50_E7874.86keV;0
PARIS50_E8015.65keV;0
PARIS50_E8157.73keV;0
PARIS50_E8301.08keV;0
PARIS50_E8445.72keV;0
PARIS50_E8591.64keV;0
PARIS50_E8738.85keV;0
PARIS50_E9037.11keV;0
PARIS50_E9188.17keV;0
PARIS50_E9340.52keV;0
PARIS50_E9494.15keV;0
PARIS50_E9649.06keV;0
PARIS50_E9805.27keV;0
PARIS50_E9962.76keV;0
PARIS50_E10121.5keV;0
PARIS50_E10281.6keV;0
PARIS50_E10443keV;0
PARIS50_E10605.6keV;0
PARIS50_E10769.5keV;0
PARIS50_E10934.8keV;0
PARIS50_E11101.3keV;0
PARIS50_E11269.1keV;0
PARIS50_E11438.2keV;0
PARIS50_E11608.6keV;0
PARIS50_E11780.3keV;0
PARIS50_E11953.3keV;0
PARIS50_E12127.5keV;0
PARIS50_E12303.1keV;0
PARIS50_E12480keV;0
PARIS50_E12658.1keV;0
PARIS50_E12837.6keV;0
PARIS50_E13018.3keV;0
PARIS50_E13200.4keV;0
PARIS50_E13383.7keV;0
PARIS50_E13568.4keV;0
PARIS50_E13754.3keV;0
PARIS50_E13941.6keV;0
PARIS50_E8887.34keV;143
PARIS50_E14130.1keV;0
PARIS50_E14319.9keV;0
PARIS50_E14511.1keV;0
PARIS50_E14703.5keV;0
PARIS50_E14897.2keV;0
