TAG;rc
PARIS305_E5.5keV;0
PARIS305_E13.7885keV;0
PARIS305_E19.888keV;0
PARIS305_E27.0103keV;0
PARIS305_E35.1145keV;0
PARIS305_E44.1655keV;0
PARIS305_E54.1328keV;0
PARIS305_E64.9899keV;0
PARIS305_E76.7131keV;0
PARIS305_E89.2814keV;0
PARIS305_E102.676keV;0
PARIS305_E116.879keV;0
PARIS305_E131.875keV;0
PARIS305_E147.649keV;0
PARIS305_E164.189keV;0
PARIS305_E181.481keV;0
PARIS305_E199.514keV;0
PARIS305_E218.278keV;0
PARIS305_E237.762keV;0
PARIS305_E257.956keV;0
PARIS305_E278.853keV;0
PARIS305_E300.442keV;0
PARIS305_E322.717keV;0
PARIS305_E345.669keV;0
PARIS305_E369.291keV;0
PARIS305_E393.576keV;0
PARIS305_E418.518keV;0
PARIS305_E444.111keV;0
PARIS305_E470.348keV;0
PARIS305_E497.223keV;0
PARIS305_E524.731keV;0
PARIS305_E552.866keV;0
PARIS305_E581.624keV;0
PARIS305_E610.999keV;0
PARIS305_E640.986keV;0
PARIS305_E671.581keV;0
PARIS305_E702.78keV;0
PARIS305_E734.578keV;0
PARIS305_E766.97keV;0
PARIS305_E799.953keV;0
PARIS305_E833.523keV;0
PARIS305_E867.676keV;0
PARIS305_E902.409keV;0
PARIS305_E937.717keV;0
PARIS305_E973.597keV;0
PARIS305_E1010.05keV;0
PARIS305_E1047.06keV;0
PARIS305_E1084.64keV;0
PARIS305_E1122.77keV;0
PARIS305_E1161.46keV;0
PARIS305_E1200.71keV;0
PARIS305_E1240.5keV;0
PARIS305_E1280.84keV;0
PARIS305_E1321.73keV;0
PARIS305_E1363.15keV;0
PARIS305_E1405.12keV;0
PARIS305_E1447.62keV;0
PARIS305_E1490.66keV;0
PARIS305_E1534.22keV;0
PARIS305_E1578.32keV;0
PARIS305_E1622.94keV;0
PARIS305_E1668.09keV;0
PARIS305_E1713.75keV;0
PARIS305_E1759.94keV;0
PARIS305_E1806.65keV;0
PARIS305_E1853.87keV;0
PARIS305_E1901.6keV;0
PARIS305_E1949.84keV;0
PARIS305_E1998.59keV;0
PARIS305_E2047.85keV;0
PARIS305_E2097.62keV;0
PARIS305_E2147.88keV;0
PARIS305_E2198.65keV;0
PARIS305_E2249.92keV;0
