TAG;rc
PARIS130_E5.5keV;0
PARIS130_E13.7376keV;0
PARIS130_E19.7696keV;0
PARIS130_E26.9079keV;0
PARIS130_E35.1373keV;0
PARIS130_E44.443keV;0
PARIS130_E54.8112keV;0
PARIS130_E66.2289keV;0
PARIS130_E78.6839keV;0
PARIS130_E92.1648keV;0
PARIS130_E106.661keV;0
PARIS130_E122.163keV;0
PARIS130_E138.661keV;0
PARIS130_E156.146keV;0
PARIS130_E174.611keV;0
PARIS130_E194.047keV;0
PARIS130_E214.448keV;0
PARIS130_E235.806keV;0
PARIS130_E258.114keV;0
PARIS130_E281.367keV;0
PARIS130_E305.558keV;0
PARIS130_E330.682keV;0
PARIS130_E356.733keV;0
PARIS130_E383.705keV;0
PARIS130_E411.595keV;0
PARIS130_E440.396keV;0
PARIS130_E470.104keV;0
PARIS130_E500.716keV;0
PARIS130_E532.225keV;0
PARIS130_E564.629keV;0
PARIS130_E597.923keV;0
PARIS130_E632.103keV;0
PARIS130_E667.165keV;0
PARIS130_E703.106keV;0
PARIS130_E739.922keV;0
PARIS130_E777.61keV;0
PARIS130_E816.166keV;143
PARIS130_E855.587keV;0
PARIS130_E895.87keV;0
PARIS130_E937.011keV;0
PARIS130_E979.008keV;0
PARIS130_E1021.86keV;0
PARIS130_E1065.56keV;0
PARIS130_E1110.1keV;0
PARIS130_E1155.5keV;0
PARIS130_E1201.73keV;0
PARIS130_E1248.8keV;0
PARIS130_E1296.71keV;0
PARIS130_E1345.45keV;0
PARIS130_E1395.02keV;0
PARIS130_E1445.43keV;0
PARIS130_E1496.66keV;0
PARIS130_E1548.71keV;0
PARIS130_E1601.59keV;0
PARIS130_E1655.28keV;0
PARIS130_E1709.8keV;0
PARIS130_E1765.13keV;0
PARIS130_E1821.27keV;0
PARIS130_E1878.23keV;0
PARIS130_E1935.99keV;0
PARIS130_E1994.57keV;0
PARIS130_E2053.94keV;0
PARIS130_E2114.13keV;0
PARIS130_E2175.11keV;0
PARIS130_E2236.9keV;0
PARIS130_E2299.48keV;0
PARIS130_E2362.86keV;0
PARIS130_E2427.04keV;0
PARIS130_E2492.01keV;0
PARIS130_E2557.77keV;0
PARIS130_E2624.32keV;0
PARIS130_E2691.65keV;0
PARIS130_E2759.78keV;0
PARIS130_E2828.69keV;0
PARIS130_E2898.38keV;0
PARIS130_E2968.86keV;0
PARIS130_E3040.11keV;0
PARIS130_E3112.15keV;0
PARIS130_E3184.96keV;0
PARIS130_E3258.55keV;0
PARIS130_E3332.91keV;0
PARIS130_E3408.04keV;0
PARIS130_E3483.95keV;0
PARIS130_E3560.63keV;0
PARIS130_E3638.08keV;0
PARIS130_E3716.29keV;0
PARIS130_E3795.27keV;0
PARIS130_E3875.02keV;0
PARIS130_E3955.53keV;0
PARIS130_E4036.8keV;0
PARIS130_E4118.83keV;0
PARIS130_E4201.63keV;0
PARIS130_E4285.18keV;0
PARIS130_E4369.49keV;0
PARIS130_E4454.56keV;0
PARIS130_E4540.38keV;0
PARIS130_E4626.95keV;0
PARIS130_E4714.28keV;0
PARIS130_E4802.36keV;0
PARIS130_E4891.19keV;0
PARIS130_E4980.77keV;0
PARIS130_E5071.1keV;0
PARIS130_E5162.18keV;0
PARIS130_E5254keV;0
PARIS130_E5346.57keV;0
PARIS130_E5439.88keV;0
PARIS130_E5533.93keV;0
PARIS130_E5628.73keV;0
PARIS130_E5724.27keV;0
PARIS130_E5820.54keV;0
PARIS130_E5917.56keV;0
PARIS130_E6015.31keV;0
PARIS130_E6113.8keV;0
PARIS130_E6213.03keV;0
PARIS130_E6312.99keV;0
PARIS130_E6413.69keV;0
PARIS130_E6515.12keV;0
PARIS130_E6617.28keV;0
PARIS130_E6720.17keV;0
PARIS130_E6823.79keV;0
PARIS130_E6928.15keV;0
PARIS130_E7033.23keV;0
PARIS130_E7139.03keV;0
PARIS130_E7245.57keV;0
PARIS130_E7352.83keV;0
PARIS130_E7460.82keV;0
PARIS130_E7569.53keV;0
PARIS130_E7678.96keV;0
PARIS130_E7789.11keV;0
PARIS130_E7899.99keV;0
PARIS130_E8011.59keV;0
PARIS130_E8123.91keV;0
PARIS130_E8236.94keV;0
PARIS130_E8350.7keV;0
PARIS130_E8465.17keV;0
PARIS130_E8580.36keV;0
