TAG;rc
PARIS262_E5.5keV;0
PARIS262_E13.8526keV;0
PARIS262_E20.1216keV;0
PARIS262_E27.4994keV;0
PARIS262_E35.9507keV;0
PARIS262_E45.4444keV;0
PARIS262_E55.9533keV;0
PARIS262_E67.4528keV;0
PARIS262_E79.9214keV;0
PARIS262_E93.3393keV;0
PARIS262_E107.689keV;0
PARIS262_E122.953keV;0
PARIS262_E139.118keV;0
PARIS262_E156.169keV;0
PARIS262_E174.093keV;0
PARIS262_E192.879keV;0
PARIS262_E212.516keV;0
PARIS262_E232.992keV;0
PARIS262_E254.298keV;0
PARIS262_E276.424keV;0
PARIS262_E299.363keV;0
PARIS262_E323.105keV;0
PARIS262_E347.642keV;0
PARIS262_E372.968keV;0
PARIS262_E399.074keV;0
PARIS262_E425.954keV;0
PARIS262_E453.602keV;0
PARIS262_E482.01keV;0
PARIS262_E511.174keV;0
PARIS262_E541.086keV;0
PARIS262_E571.743keV;0
PARIS262_E603.137keV;0
PARIS262_E635.264keV;0
PARIS262_E668.12keV;0
PARIS262_E701.698keV;0
PARIS262_E735.995keV;0
PARIS262_E771.006keV;0
PARIS262_E806.726keV;0
PARIS262_E843.151keV;0
PARIS262_E880.278keV;0
PARIS262_E918.102keV;0
PARIS262_E956.619keV;0
PARIS262_E995.825keV;0
PARIS262_E1035.72keV;0
PARIS262_E1076.29keV;0
PARIS262_E1117.55keV;0
PARIS262_E1159.47keV;0
PARIS262_E1202.07keV;0
PARIS262_E1245.34keV;0
PARIS262_E1289.28keV;0
PARIS262_E1333.88keV;0
PARIS262_E1379.13keV;0
PARIS262_E1425.05keV;0
PARIS262_E1471.61keV;0
PARIS262_E1518.83keV;0
PARIS262_E1566.7keV;0
PARIS262_E1615.21keV;0
PARIS262_E1664.36keV;0
PARIS262_E1714.16keV;0
PARIS262_E1764.59keV;0
PARIS262_E1815.66keV;0
PARIS262_E1867.36keV;0
PARIS262_E1919.69keV;0
PARIS262_E1972.65keV;0
PARIS262_E2026.23keV;0
PARIS262_E2080.44keV;0
PARIS262_E2135.27keV;0
PARIS262_E2190.72keV;0
PARIS262_E2246.78keV;0
PARIS262_E2303.46keV;0
PARIS262_E2360.76keV;0
PARIS262_E2418.66keV;0
PARIS262_E2477.18keV;0
PARIS262_E2536.3keV;143
PARIS262_E2596.02keV;0
PARIS262_E2656.35keV;0
PARIS262_E2717.28keV;0
PARIS262_E2778.81keV;0
PARIS262_E2840.93keV;0
PARIS262_E2903.66keV;0
PARIS262_E2966.97keV;0
PARIS262_E3030.88keV;0
PARIS262_E3095.38keV;0
PARIS262_E3160.47keV;0
PARIS262_E3226.14keV;0
PARIS262_E3292.4keV;0
PARIS262_E3359.25keV;0
PARIS262_E3426.68keV;0
PARIS262_E3494.68keV;0
PARIS262_E3563.27keV;0
PARIS262_E3632.44keV;0
PARIS262_E3702.18keV;0
PARIS262_E3772.5keV;0
PARIS262_E3843.39keV;0
PARIS262_E3914.85keV;0
PARIS262_E3986.88keV;0
PARIS262_E4059.49keV;0
PARIS262_E4132.66keV;0
PARIS262_E4206.39keV;0
PARIS262_E4280.69keV;0
PARIS262_E4355.56keV;0
PARIS262_E4430.99keV;0
