TAG;rc
PARIS235_E5.5000keV;0
PARIS235_E13.2886keV;0
PARIS235_E18.3221keV;0
PARIS235_E24.2810keV;0
PARIS235_E31.1889keV;0
PARIS235_E39.0659keV;0
PARIS235_E47.9296keV;0
PARIS235_E57.7952keV;0
PARIS235_E68.6767keV;0
PARIS235_E80.5865keV;0
PARIS235_E93.5360keV;0
PARIS235_E107.5355keV;0
PARIS235_E122.5948keV;0
PARIS235_E138.7226keV;0
PARIS235_E155.9275keV;0
PARIS235_E174.2172keV;0
PARIS235_E193.5991keV;0
PARIS235_E214.0802keV;0
PARIS235_E235.6670keV;0
PARIS235_E258.3659keV;0
PARIS235_E282.1828keV;0
PARIS235_E307.1233keV;0
PARIS235_E333.1931keV;0
PARIS235_E360.3972keV;0
PARIS235_E388.7407keV;0
PARIS235_E418.2284keV;0
PARIS235_E448.8651keV;0
PARIS235_E480.6550keV;0
PARIS235_E513.6027keV;0
PARIS235_E547.7122keV;0
PARIS235_E582.9877keV;0
PARIS235_E619.4331keV;0
PARIS235_E657.0521keV;0
PARIS235_E695.8485keV;0
PARIS235_E735.8259keV;0
PARIS235_E776.9878keV;0
PARIS235_E819.3375keV;0
PARIS235_E862.8785keV;0
PARIS235_E907.6139keV;0
PARIS235_E953.5468keV;0
PARIS235_E1000.6805keV;0
PARIS235_E1049.0179keV;0
PARIS235_E1098.5619keV;0
PARIS235_E1149.3153keV;0
PARIS235_E1201.2811keV;0
PARIS235_E1254.4620keV;0
PARIS235_E1308.8607keV;0
PARIS235_E1364.4797keV;0
PARIS235_E1421.3218keV;0
PARIS235_E1479.3894keV;0
PARIS235_E1538.6850keV;0
PARIS235_E1599.2111keV;0
PARIS235_E1660.9701keV;0
PARIS235_E1723.9644keV;0
PARIS235_E1788.1962keV;0
PARIS235_E1853.6678keV;0
PARIS235_E1920.3815keV;0
PARIS235_E1988.3395keV;0
PARIS235_E2057.5439keV;0
PARIS235_E2127.9969keV;0
PARIS235_E2199.7005keV;0
